intent,lang,question,answer,keywords,minlen
CTF_OVERVIEW,it,"Che cosa sono i connettori CTF Tecnaria?","I CTF sono connettori per solai misti acciaio–calcestruzzo su travi metalliche e/o lamiere grecate. La posa è meccanica con chiodatrice SPIT P560 e chiodi HSBR14 (2 per connettore), selezionando i propulsori P560 in funzione del supporto. Sono previsti kit/adattatori Tecnaria e verifiche di progetto su spessori minimi di trave/lamiera. Documentazione disponibile in schede tecniche ed ETA.","ctf|p560|hsbr14|lamiera|propulsori",140
CTF_OVERVIEW,en,"What are Tecnaria CTF connectors?","CTF are shear connectors for composite steel–concrete slabs on steel beams and/or profiled steel sheeting. Installation is mechanical using the SPIT P560 nailer with two HSBR14 nails per connector; P560 cartridges are selected by substrate. Tecnaria kits/adaptors are mandatory. Design checks address minimum beam/sheet thickness and documentation is provided in data sheets/ETA.","ctf|p560|hsbr14|sheet|cartridges",130
CTF_OVERVIEW,fr,"Que sont les connecteurs CTF Tecnaria ?","Les CTF sont des connecteurs pour planchers mixtes acier–béton sur poutres acier et/ou bacs acier nervurés. La pose est mécanique avec cloueuse SPIT P560 et 2 clous HSBR14 par connecteur; choix des propulseurs P560 selon le support. Kits/adaptateurs Tecnaria obligatoires et vérifications de conception sur épaisseurs minimales. Documents: fiches techniques/ETA.","ctf|p560|hsbr14|tôle|propulseurs",140
CTF_OVERVIEW,es,"¿Qué son los conectores CTF de Tecnaria?","CTF son conectores para forjados mixtos acero–hormigón sobre vigas metálicas y/o chapa grecada. La instalación es mecánica con clavadora SPIT P560 y 2 clavos HSBR14 por conector; los propulsores P560 se eligen según el soporte. Requiere kits/adaptadores Tecnaria y comprobaciones de proyecto sobre espesores mínimos. Documentación en fichas y ETA.","ctf|p560|hsbr14|chapa|propulsores",140
CTF_OVERVIEW,de,"Was sind Tecnaria CTF-Verbinder?","CTF sind Verbinder für Stahl–Beton-Verbunddecken auf Stahlträgern und/oder Trapezblechen. Die Montage erfolgt mechanisch mit dem SPIT P560-Nagelgerät, je 2 HSBR14-Nägel pro Verbinder; P560-Kartuschen werden nach Untergrund gewählt. Tecnaria-Kits/Adapter sind vorgeschrieben. Nachweise betreffen Mindestdicken von Träger/Blech; Unterlagen: Datenblätter/ETA.","ctf|p560|hsbr14|blech|kartuschen",140

CTF_NAILER_ONLY,it,"Si possono posare i CTF con una chiodatrice qualunque?","No. Per i CTF Tecnaria è ammessa esclusivamente la chiodatrice SPIT P560 con kit/adattatori Tecnaria. Ogni connettore si posa con 2 chiodi HSBR14 e propulsori P560 adeguati al supporto. L’uso di utensili non conformi non è autorizzato e invalida la procedura.","ctf|p560|hsbr14|chiodatrice|propulsori",120
CTF_NAILER_ONLY,en,"Can I install CTF with any powder-actuated tool?","No. Only the SPIT P560 with Tecnaria kits/adaptors is authorized for CTF. Each connector uses 2 HSBR14 nails; select P560 cartridges by substrate. Non-approved tools are not permitted and invalidate the procedure.","ctf|p560|hsbr14|nailer|cartridges",110
CTF_NAILER_ONLY,fr,"Peut-on poser les CTF avec n’importe quelle cloueuse ?","Non. Seule la SPIT P560 avec kits/adaptateurs Tecnaria est autorisée pour les CTF. 2 clous HSBR14 par connecteur et propulseurs P560 choisis selon le support. Les outils non approuvés ne sont pas admis.","ctf|p560|hsbr14|cloueuse|propulseurs",110
CTF_NAILER_ONLY,es,"¿Se pueden instalar CTF con cualquier clavadora a pólvora?","No. Solo se autoriza la SPIT P560 con kits/adaptadores Tecnaria. Cada conector lleva 2 clavos HSBR14 y propulsores P560 según el soporte. Las herramientas no aprobadas no están permitidas.","ctf|p560|hsbr14|clavadora|propulsores",110
CTF_NAILER_ONLY,de,"Darf ich CTF mit einem beliebigen Bolzenschussgerät montieren?","Nein. Zulässig ist ausschließlich das SPIT P560 mit Tecnaria-Kits/Adaptern. Pro Verbinder: 2 HSBR14-Nägel; P560-Kartuschen nach Untergrund wählen. Nicht freigegebene Geräte sind unzulässig.","ctf|p560|hsbr14|nagler|kartuschen",110

CTL_OVERVIEW,it,"Che cos’è il connettore CTL e come lavora?","CTL è un connettore per la collaborazione legno–calcestruzzo: collega l’orditura in legno alla soletta in c.a., incrementando rigidezza e portanza del solaio. Richiede verifica di progetto (spessori, schema di posa, passo, ancoraggi) e controllo di cantiere (coppie, attrezzature, pulizia piano di posa).","ctl|soletta|calcestruzzo|collaborazione|legno",140
