id	lang	question	answer	tags			
FAQ::CTF::001	it	Che cos'è il connettore CTF Tecnaria e a cosa serve?	Il CTF è un connettore per solai misti acciaio–calcestruzzo: trasferisce gli sforzi di taglio tra trave in acciaio (o lamiera grecata su trave) e soletta in cls. La posa è meccanica a freddo con chiodatrice SPIT P560 e due chiodi HSBR14 per singolo connettore. Riferimenti: schede Tecnaria ed ETA.	ctf	 struttura-e-principi		
FAQ::CTF::002	it	Come funziona la collaborazione acciaio–calcestruzzo con CTF?	I pioli del CTF, annegati nel getto, impediscono lo scorrimento relativo tra trave e soletta; lo sforzo di taglio è trasferito tramite i chiodi HSBR14 e la piastra del connettore. Il risultato è una sezione composta con incremento di rigidezza e resistenza a flessione.	ctf	 struttura-e-principi		
FAQ::CTF::003	it	Che differenza c'è tra CTF e pioli saldati?	CTF è posato a freddo in cantiere con P560, senza saldatura né energia elettrica; è ideale in retrofit o dove la saldatura non è praticabile. I pioli saldati richiedono saldatrice ad arco e controlli specifici; entrambi perseguono la collaborazione, ma con tecnologie e logistiche diverse.	ctf	 struttura-e-principi		
FAQ::CTF::004	it	Posso usare una chiodatrice qualsiasi per posare CTF?	No. È autorizzata solo la SPIT P560 con kit/adattatori Tecnaria e chiodi HSBR14. Ogni connettore richiede 2 chiodi	 i propulsori P560 si scelgono in base al supporto. Utensili non conformi non sono ammessi e invalidano la procedura.	ctf	 p560/attrezzatura	
FAQ::CTF::005	it	Come scelgo i propulsori P560?	Si selezionano in funzione di durezza e spessore del supporto (trave e lamiera). Si parte da potenza media e si affina per ottenere corretta penetrazione: testa chiodo a filo piastra, senza eccessi. Fare prove a inizio cantiere su elementi di riserva.	ctf	 p560/attrezzatura		
FAQ::CTF::006	it	Quali controlli di sicurezza servono con la P560?	Verifica DPI (occhiali, guanti, cuffie), area sicura, bersaglio solido, manutenzione utensile e fermo di sicurezza attivo. Non sparare su elementi instabili o in presenza di persone sul lato opposto della lamiera.	ctf	 p560/attrezzatura		
FAQ::CTF::007	it	CTF su lamiera grecata: controlli minimi?	Prima della posa: integrità lamiera, aderenza alla trave, spessori compatibili con ETA. Durante: centratura connettore nel solco, 2 chiodi HSBR14 ben assestati. Dopo: campionamento ≥10% conn. per stabilità/verticalità; pulizia trucioli prima del getto.	ctf	 lamiera-grecata		
FAQ::CTF::008	it	Quali pacchetti lamiera sono tipicamente ammessi?	Configurazioni provate includono 1×1,5 mm oppure 2×1,0 mm ben aderenti alla trave. Verificare sempre progetto ed ETA; per combinazioni diverse predisporre verifiche del progettista.	ctf	 lamiera-grecata		
FAQ::CTF::009	it	Serve preforo su lamiera?	No, la posa è a freddo con chiodatura; non si prefora la lamiera. È essenziale l’aderenza alla trave e la corretta taratura propulsori P560.	ctf	 lamiera-grecata		
FAQ::CTF::010	it	Spessore minimo della trave per CTF?	Per allestimenti certificati, l’anima della trave in acciaio è tipicamente ≥6 mm. In caso di spessori inferiori o acciai non standard è necessaria la verifica del progettista strutturale.	ctf	 travi-in-acciaio		
FAQ::CTF::011	it	CTF è adatto su profili verniciati/galvanizzati?	Sì, purché lo strato superficiale non comprometta l’aderenza e la resistenza della chiodatura. In presenza di rivestimenti spessi fare prove preliminari e rimuovere eventuali eccessi in zona di posa.	ctf	 travi-in-acciaio		
FAQ::CTF::012	it	È possibile usare CTF su travi cor-ten?	In linea di principio sì, ma la durezza superficiale può richiedere propulsori maggiorati e prove preliminari; il progettista deve validare la configurazione.	ctf	 travi-in-acciaio		
FAQ::CTF::013	it	Quanti chiodi servono per ogni CTF?	Due chiodi HSBR14 per connettore, sparati con P560 tramite adattatore Tecnaria. Non riutilizzare fori né risparmiare chiodi: comprometterebbe la capacità di taglio.	ctf	 disposizione/posa		
FAQ::CTF::014	it	Qual è l'interasse consigliato tra CTF?	L’interasse dipende dal progetto e dai tagli di calcolo. Tipicamente varia tra 150–300 mm lungo la trave	 rispettare i minimi di bordo e i limiti ETA.	ctf	 disposizione/posa	
FAQ::CTF::015	it	Si possono inclinare i connettori?	La posa standard è verticale. Sono tollerate piccole deviazioni (indicativamente ±5°). Se la lamiera impone inclinazioni maggiori, valutare piastre distanziali o soluzioni alternative validate.	ctf	 disposizione/posa		
FAQ::CTF::016	it	Quale calcestruzzo è previsto?	Normalmente calcestruzzo C25/30 o leggero strutturale secondo progetto. La lavorabilità deve consentire il corretto avvolgimento dei pioli e la finitura attorno alla piastra.	ctf	 getto-e-calcestruzzo		
FAQ::CTF::017	it	Serve la rete elettrosaldata?	Sì, tipicamente una rete a metà spessore di soletta; garantisce il controllo fessurativo e la distribuzione delle tensioni. La testa del connettore deve risultare sotto il filo superiore del getto ma sopra la rete.	ctf	 getto-e-calcestruzzo		
FAQ::CTF::018	it	Quali copriferri attorno al connettore?	Va rispettata l’altezza di soletta e la posizione di armature/retine	 si evitino nidi di ghiaia attorno alla piastra. Cura di getto e vibrazione controllata in prossimità dei connettori.	ctf	 getto-e-calcestruzzo	
FAQ::CTF::019	it	Che controlli in cantiere sono richiesti?	Controlli visivi a campione (≥10%): numero chiodi, penetrazione, stabilità, verticalità. Verifica documentale di layout e configurazioni; fotografie e verbali. Pull-out test solo se richiesto dalla D.L.	ctf	 collaudi-e-controlli		
FAQ::CTF::020	it	Come riconosco un chiodo non conforme?	Testa sporgente, inclinazione marcata, rifollatura assente o eccessiva, chiodo piegato o rotto. In tali casi sostituire il connettore e ripetere la posa in nuovo punto conforme.	ctf	 collaudi-e-controlli		
FAQ::CTF::021	it	Sono previste prove di estrazione?	Solo se richieste da D.L./collaudatore o in condizioni non standard. Procedura secondo istruzioni Tecnaria/ETA con strumentazione idonea.	ctf	 collaudi-e-controlli		
FAQ::CTF::022	it	Quali verifiche di progetto sono necessarie?	Verifica della capacità di taglio per connettore, resistenza di gruppo e scorrimento, punzonamento su lamiera, deformabilità allo SLU/SLE, vibrazioni. Rispettare condizioni ETA e tabelle Tecnaria.	ctf	 progettazione		
FAQ::CTF::023	it	Come scelgo il passo dei connettori lungo la trave?	Si deriva dallo sforzo di taglio distribuito tra trave e soletta. Si usa la capacità di un connettore (o del gruppo per passo) e si dimensiona l’interasse rispettando limiti geometrici e costruttivi.	ctf	 progettazione		
FAQ::CTF::024	it	Esistono limiti di bordo su lamiera?	Sì: distanza minima da lembi/bugne secondo ETA e dettagli costruttivi del profilo. Evitare zone di nervatura debole o vuoti	 utilizzare dime e riferimenti di posa.	ctf	 progettazione	
FAQ::CTF::025	it	Posso usare CTF su lamiera con riempitivi antifuoco?	Verificare compatibilità: riempitivi possono attenuare la penetrazione dei chiodi e la portata. Eseguire prove e consultare D.L./progettista.	ctf	 compatibilità-e-casi-particolari		
FAQ::CTF::026	it	CTF su trave umida o ghiacciata: è ammesso?	No. Condizioni bagnate/ghiacciate compromettono sicurezza e qualità del fissaggio. Attendere condizioni asciutte e pulite.	ctf	 compatibilità-e-casi-particolari		
FAQ::CTF::027	it	CTF con doppia lamiera sovrapposta?	Possibile se previsto dal progetto e se la sovrapposizione è perfettamente aderente	 verificare portata della chiodatura e fare prove preliminari.	ctf	 compatibilità-e-casi-particolari	
FAQ::CTF::028	it	Quali documenti fanno fede per CTF?	Schede tecniche e istruzioni di posa Tecnaria, ETA di riferimento e, se presente, certificazioni addizionali (es. SOCOTEC). Il progetto strutturale ha sempre priorità.	ctf	 documentazione-e-marcature		
FAQ::CTF::029	it	La P560 ha marcatura CE?	È un’attrezzatura	 verificare manuale e conformità del fabbricante. Per i connettori CTF fa fede l’ETA del prodotto e le istruzioni di posa.	ctf	 documentazione-e-marcature	
FAQ::CTF::030	it	Dove reperisco i layout di posa?	Nel progetto strutturale e nella documentazione Tecnaria. In cantiere tenere sempre disponibili disegni e tabelle con passo e quantità connettori.	ctf	 documentazione-e-marcature		
FAQ::CTF::031	it	CTF su lamiera grecata H60: quali step di posa?	Verifica lamiera e aderenza, centratura connettore nel solco, due chiodi HSBR14 con P560 tarata, controllo visivo finale e pulizia prima del getto. H60. Eseguire prove propulsori all’avvio.	ctf	 posa	 p560	 lamiera
